,Neighborhood,Latitude,Longitude,Total Venues,E-scores,KM Cluster Labels,TotalCrimes,ViolentCrimes,PropertyCrimes,MVPolyFit_TotalCrimes,PolyFit_TotalCrimes,DBSCAN_Labels
89,NE Boundary,38.89545082,-76.91738943,2,0.0,2,139,39,100,50.028490783271536,96.28784693809031,-1
90,Navy Yard,38.87426841,-76.99846165,38,3.3181953392924854,0,137,8,129,343.8537012762645,421.0536656791342,-1
91,Naylor Gardens,38.85672443,-76.96304603,16,2.4799555205445176,2,311,35,276,113.45352468976421,168.3382618432232,-1
92,Near Northeast,38.90237479,-76.99973389,50,3.5847238908503476,0,571,48,523,493.7980746804469,532.0513280427374,-1
93,Near Southeast,38.87838447,-77.00062711,29,3.1760828146595914,0,298,21,277,313.1076461687286,366.46386864776247,-1
94,North Capitol Street,38.90253216,-77.01127535,30,3.135265111891203,0,378,29,349,259.43464195775914,351.5246281267591,-1
95,North Cleveland Park,38.94787867,-77.07177356,3,1.0986122886681096,0,50,5,45,110.82875435476444,134.96307090964075,0
96,North Michigan Park,38.94564416,-76.99366629,3,1.0986122886681096,0,58,8,50,110.82875435476444,134.96307090964075,0
97,North Portal Estates,38.99176498,-77.04087665,1,0.0,3,27,0,27,149.8379168540264,96.28784693809031,-1
98,Palisades,38.92980767,-77.10352038,11,2.2718685126965625,0,37,1,36,90.61899877382427,135.09601805868084,0
99,Park View,38.93460426,-77.02144427,36,3.352469878269462,0,420,37,383,369.9117049444128,434.76436555347277,-1
100,Penn Branch,38.86956018,-76.95342386,5,1.6094379124341005,0,51,6,45,108.21590186011281,105.20858582124697,0
101,Penn Quarter,38.89537045,-77.02218065,100,3.9710518112621767,0,512,39,473,762.2508638498853,701.749396914217,-1
102,Petworth,38.94303913,-77.02401733,16,2.6859453246697877,0,280,30,250,176.04303844297823,213.4477803302482,-1
103,Pleasant Hill,38.94107919,-77.00480355,5,1.6094379124341005,2,72,13,59,108.21590186011281,105.20858582124697,0
104,Pleasant Plains,38.92947297,-77.023101,26,3.098139496353803,0,465,58,407,302.1996520031961,338.247761942111,-1
105,Queens Chapel,38.95607002,-76.99659057,6,1.5607104090414063,2,196,18,178,174.8569193482839,106.76292222967948,0
106,Randle Highlands,38.86933565,-76.96580364,7,1.7478680974667573,0,94,10,84,148.47747894407473,103.12185969915552,0
107,River Terrace,38.89370455,-76.95768066,8,2.0794415416798357,0,115,25,90,70.63199264803404,115.17756600825764,0
108,Shepherd Park,38.98298005,-77.03212571,5,1.6094379124341005,0,116,4,112,108.21590186011281,105.20858582124697,0
109,Shipley,38.84686013,-76.97290234,7,1.7478680974667573,2,160,49,111,148.47747894407473,103.12185969915552,0
110,Skyland,38.86026696,-76.97170298,6,1.7917594692280547,0,168,38,130,88.8590274334677,103.25626494303857,0
111,South Central,38.92398546,-76.96504312,7,1.945910149055313,0,156,8,148,75.25860194166603,107.13875914708977,0
112,Southwest Employment Area,38.88501657,-77.02031687,84,3.4527023413999864,0,165,8,157,428.19250480478286,475.90460712432593,-1
113,Southwest/Waterfront,38.87790836,-77.01690296,13,2.2047854169135204,0,251,31,220,144.23047803678898,126.99620826419994,-1
114,Spring Valley,38.93931138,-77.09672424,2,0.6931471805599453,4,19,0,19,31.960649156601903,158.9511649137039,-1
115,Stanton Park,38.89489782,-76.99424171,6,1.5607104090414063,2,285,27,258,174.8569193482839,106.76292222967948,0
116,Stronghold,38.92577558,-77.00776741,8,1.9061547465398496,0,64,8,56,122.4688983754177,105.60604616912889,0
117,Takoma,38.9764616,-77.0215583,22,2.9020023132056028,0,176,9,167,203.95956494408904,273.4321373028191,-1
118,Tenleytown,38.9471274,-77.08016309,49,3.5875460144631193,0,236,10,226,481.3581191818025,533.2709569163072,-1
119,Trinidad,38.90846246,-76.98273699,5,1.6094379124341005,0,317,67,250,108.21590186011281,105.20858582124697,0
120,Truxton Circle,38.90966731,-77.01239416,24,3.178053830347946,0,417,82,335,552.0244640782624,367.1940805865843,-1
121,Twining,38.87558791,-76.96084721,5,1.6094379124341005,2,47,5,42,108.21590186011281,105.20858582124697,0
122,University Heights,38.93824876,-76.9957615,12,2.4849066497880012,0,101,12,89,133.73678523163133,169.28032242076733,0
123,Van Ness,38.94339058,-77.06610638,25,3.0315905757832304,0,166,7,159,253.8878182644807,315.2244202510195,-1
124,Washington Highlands,38.83023741,-76.99563621,7,1.7478680974667573,0,212,53,159,148.47747894407473,103.12185969915552,0
125,Wesley Heights,38.92998082,-77.08832491,13,2.1383972463477248,0,25,1,24,175.98981278813835,120.20638276231368,0
126,West End,38.90555034,-77.05188247,49,3.2688493182862555,0,366,22,344,633.0829772030208,401.66928272260265,-1
127,Woodland,38.85655424,-76.97392561,4,1.3862943611198906,0,91,34,57,123.44682873957618,115.16620674661792,0
128,Woodland-Normanstone,38.92285,-77.06075347,5,1.3321790402101223,0,8,0,8,186.34199488039962,118.49636981280537,0
129,Woodley Park,38.92726532,-77.05748295,18,2.8133554045006157,0,75,6,69,234.77697328202544,247.30306437989404,0
130,Woodridge,38.93402103,-76.96863953,6,1.5607104090414063,2,101,14,87,174.8569193482839,106.76292222967948,0
