,Neighborhood,Total Venues,E-scores,Borough,Latitude,Longitude,TotalCrimes,KM Cluster Labels,DBSCAN_Labels
295,Whitestone,4,1.3862943611198906,Queens,40.78129077,-73.81420217,21,1,0
296,Williamsbridge,5,1.3321790402101223,Bronx,40.88103888,-73.85744643,242,1,0
297,Williamsburg,33,3.3284718813307355,Brooklyn,40.70714439,-73.95811529,336,1,0
298,Willowbrook,5,1.0549201679861442,Staten Island,40.60370693,-74.13208447,28,0,0
299,Windsor Terrace,25,2.997068727089017,Brooklyn,40.65694584,-73.98007340000002,35,1,0
300,Wingate,23,3.0752205480543715,Brooklyn,40.66094656,-73.93718681,308,1,0
301,Woodhaven,25,2.9761388013384344,Queens,40.68988688,-73.85811047,139,1,0
302,Woodlawn,26,2.717850627199457,Bronx,40.89827261,-73.86731497,74,0,0
303,Woodrow,17,2.833213344056216,Staten Island,40.54196762,-74.20524582,8,0,0
304,Woodside,79,3.5575941720637,Queens,40.74634909,-73.90184167,161,1,0
305,Yorkville,100,3.821957412274897,Manhattan,40.77592985,-73.94711784,147,1,1
